input,error_type,severity,description,solution
2898323] AH00163: Apache/2.4.52 (Ubuntu) OpenSSL/3.0.2 configured -- resuming normal operations,fatal,error,Apache configuration failed due to an error in OpenSSL.,Check Apache settings and resolve SSL certificate issues.
2898323] AH00094: Command line: '/usr/sbin/apache2',fatal,notice,Command line: '/usr/drst/apache2' (AH00094) indicates an error in starting Apache.,Ensure the user has write permissions for Apache. Check their .htaccess file or modify the command to include appropriate permissions.
3631249] [client 128.199.182.55:48804] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,fatal,error,Client denied access due to server configuration error.,The client was denied access because of a temporary issue related to the server's configuration. Please check the server logs for further details or provide more information if applicable.
3632037] [client 64.23.218.208:60720] AH01630: client denied by server configuration: /var/www/rootly.com/server-status,error,error,/var/www/rootly.com/server-status is denied.,Check the rootly.com server configuration to ensure it's running properly.
2898323] AH00163: Apache/2.4.52 (Ubuntu) OpenSSL/3.0.2 configured -- resuming normal operations,fatal,error,Apache configuration failed due to an error in OpenSSL.,Check Apache settings and resolve SSL certificate issues.
2898323] AH00094: Command line: '/usr/sbin/apache2',fatal,notice,Command line: '/usr/drst/apache2' (AH00094) indicates an error in starting Apache.,Ensure the user has write permissions for Apache. Check their .htaccess file or modify the command to include appropriate permissions.
3614263] [client 167.94.138.188:44188] AH02032: Hostname www.sylvainkalache.com provided via SNI and hostname 15.235.49.49 provided via HTTP have no compatible SSL setup,error,error,The hostname www.sylvainkalache.com provided via SNI and hostname 15.235.49.49 provided via HTTP have no compatible SSL setup.,Ensure the SSL configuration for the hostname is updated to include a valid certificate.
3614152] [client 42.52.32.221:20928] AH10244: invalid URI path (/cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh),runtime,error,Invalid URI path detected during request processing.,The system encountered an invalid URI path which may require server updates or application adjustments.
3614151] [client 42.52.32.221:21624] AH10244: invalid URI path (/cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh),runtime,warn,Invalid URI path in the network configuration.,Check the network configuration and ensure proper routing or use a different method for accessing the server.
3614262] [client 78.153.140.224:60466] AH10244: invalid URI path (/../.env),,warn,The client encountered an invalid URI path (/../.env) which may be due to incorrect permissions or configuration.,
